PermitNo,Permittee,SiteNo,SiteCompany,SiteAddr1,SiteCity,SiteState,SiteZipCode,MapCategory
FA0000833,HOLIDAY STATIONSTORE #631,FA0000833,HOLIDAY STATIONSTORE #631,285 MULDOON RD,ANCHORAGE,AK,99504-1501,04I
FA0000834,Carrs #1812,FA0000834,Carrs #1812,4000 W Dimond Blvd,ANCHORAGE,AK,99502-1466,07F
FA0000835,Carrs #1805 Grocery,FA0000835,Carrs #1805 Grocery,1650 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99517-3340,03B
FA0000836,CARRS #1807 - GROCERY,FA0000836,CARRS #1807 - GROCERY,11431 BUSINESS BLVD,EAGLE RIVER,AK,99577-7738,52B
FA0000837,Carrs #1813 Grocery,FA0000837,Carrs #1813 Grocery,1501 Huffman Rd,ANCHORAGE,AK,99515-4309,06F
FA0000842,CARRS #520 - GROCERY,FA0000842,CARRS #520 - GROCERY,3101 PENLAND PKWY,ANCHORAGE,AK,99508-1955,02E
FA0000845,Carrs #1809 Grocery,FA0000845,Carrs #1809 Grocery,5600 DEBARR RD,ANCHORAGE,AK,99504-2300,04E
FA0000847,Carrs #1802-Grocery,FA0000847,Carrs #1802-Grocery,1340 GAMBELL ST,ANCHORAGE,AK,99501-4630,02B
FA0000852,MT VIEW RED APPLE GROCERY,FA0000852,MT VIEW RED APPLE GROCERY,131 S BRAGAW ST,ANCHORAGE,AK,99508,01A
FA0000854,Carrs #1817 Grocery,FA0000854,Carrs #1817 Grocery,7731 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99504-3566,04H
FA0000856,COSTCO GROCERY & MEAT,FA0000856,COSTCO GROCERY & MEAT,330 W DIMOND BLVD,ANCHORAGE,AK,99515-1903,07H
FA0000858,NEW SAGAYA MIDTOWN MARKET,FA0000858,NEW SAGAYA MIDTOWN MARKET,3700 OLD SEWARD HWY,ANCHORAGE,AK,99503-6037,08C
FA0000859,Costco Wholesale #63,FA0000859,Costco Wholesale #63,4125 DEBARR RD,ANCHORAGE,AK,99508-3115,02F
FA0000870,COSTCO WHOLESALE,FA0000870,COSTCO WHOLESALE,330 W DIMOND BLVD,ANCHORAGE,AK,99515-1903,07H
FA0000877,CARRS #1817 - RETAIL FISH,FA0000877,CARRS #1817 - RETAIL FISH,7731 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99504-3566,04H
FA0000878,CARRS #1813 - RETAIL FISH,FA0000878,CARRS #1813 - RETAIL FISH,1501 HUFFMAN RD,ANCHORAGE,AK,99515-4309,06F
FA0000879,CARRS #1812 - RETAIL FISH,FA0000879,CARRS #1812 - RETAIL FISH,4000 W DIMOND BLVD,ANCHORAGE,AK,99502-1466,07F
FA0000882,CARRS #1805 - RETAIL FISH,FA0000882,CARRS #1805 - RETAIL FISH,1650 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99517-3340,03B
FA0000883,MIKE'S QUALITY MEATS,FA0000883,MIKE'S QUALITY MEATS,12110  BUSINESS BLVD,EAGLE RIVER,AK,99577-7741,52A
